num,yyyy,mm,dd,hh,min,QOBS_0001,QOSI_0001,QSIM_0001,QOBS_0002,QOSI_0002,QSIM_0002
227,2009,9,10,10,0,12.3,7.24,7.24,7.36,9.22,8.47
228,2009,9,10,11,0,15.6,7.22,7.22,7.31,13.14,8.44
229,2009,9,10,12,0,16,7.21,7.21,10.7,15.6,8.42
230,2009,9,10,13,0,16.1,7.2,7.2,15.3,16.64,8.4
231,2009,9,10,14,0,13,7.18,7.18,15.8,15.91,8.39
232,2009,9,10,15,0,9.66,7.19,7.19,15.8,13.6,8.38
233,2009,9,10,16,0,6.61,7.21,7.21,13.9,10.74,8.39
234,2009,9,10,17,0,6.13,7.27,7.27,11.8,8.7,8.42
235,2009,9,10,18,0,7.89,7.56,7.56,9.85,8.48,8.55
236,2009,9,10,19,0,10.4,8.15,8.15,8.64,9.78,8.89
237,2009,9,10,20,0,10.6,8.79,8.79,8.91,11,9.41
238,2009,9,10,21,0,10.1,9.34,9.34,11.1,11.31,9.97
239,2009,9,10,22,0,7.03,9.75,9.75,11.8,10.17,10.48
240,2009,9,10,23,0,5.72,10.41,10.41,11.7,8.46,11.02
241,2009,9,11,0,0,5.77,12.01,12.01,10.1,7.51,11.99
242,2009,9,11,1,0,5.87,14.3,14.3,8.59,7.22,13.61
243,2009,9,11,2,0,5.96,16.12,16.12,8.17,7.17,15.48
244,2009,9,11,3,0,6.43,16.82,16.82,8.17,7.34,16.91
245,2009,9,11,4,0,8.6,16.7,16.7,8.17,8.33,17.57
246,2009,9,11,5,0,8.16,16.17,16.17,8.17,9.1,17.59
247,2009,9,11,6,0,7.47,15.46,15.46,9.39,9.01,17.19
248,2009,9,11,7,0,6.38,14.7,14.7,9.72,8.4,16.58
249,2009,9,11,8,0,11,13.94,13.94,9.58,9.58,15.87
250,2009,9,11,9,0,11.8,13.22,13.22,8.73,11.53,15.14
251,2009,9,11,10,0,15,12.55,12.55,10.7,13.64,14.44
252,2009,9,11,11,0,15.7,11.95,11.95,12.8,15.51,13.78
253,2009,9,11,12,0,13.2,11.43,11.43,14.7,15.47,13.19
254,2009,9,11,13,0,10.2,11.04,11.04,15.7,13.68,12.69
255,2009,9,11,14,0,8.26,10.81,10.81,14.3,11.52,12.32
256,2009,9,11,15,0,5.99,10.75,10.75,12.4,9.38,12.1
257,2009,9,11,16,0,5.47,10.78,10.78,10.7,7.8,12.01
258,2009,9,11,17,0,5.52,10.75,10.75,9.22,7.09,11.97
259,2009,9,11,18,0,5.58,10.6,10.6,8.14,6.87,11.89
260,2009,9,11,19,0,7.26,10.61,10.61,7.9,7.42,11.83
261,2009,9,11,20,0,11.1,11.05,11.05,7.69,9.48,11.97
262,2009,9,11,21,0,12.5,11.66,11.66,7.85,11.77,12.36
263,2009,9,11,22,0,11,12.4,12.4,11.3,12.43,12.94
264,2009,9,11,23,0,10.3,13.39,13.39,13,12.02,13.72
265,2009,9,12,0,0,7.06,14.27,14.27,12.5,10.49,14.58
266,2009,9,12,1,0,5.67,14.66,14.66,11.9,8.56,15.28
267,2009,9,12,2,0,5.54,14.57,14.57,10.3,7.44,15.61
268,2009,9,12,3,0,5.45,14.19,14.19,8.55,6.96,15.56
269,2009,9,12,4,0,5.36,13.69,13.69,7.86,6.72,15.26
270,2009,9,12,5,0,5.27,13.13,13.13,7.48,6.58,14.81
271,2009,9,12,6,0,5.23,12.57,12.57,7.43,6.48,14.29
272,2009,9,12,7,0,5.23,12.03,12.03,7.38,6.44,13.75
273,2009,9,12,8,0,7.72,11.53,11.53,7.34,7.34,13.23
274,2009,9,12,9,0,6.71,11.08,11.08,7.3,7.95,12.74
275,2009,9,12,10,0,6.41,10.67,10.67,7.83,7.8,12.28
276,2009,9,12,11,0,7.77,10.3,10.3,8.99,8.17,11.87
277,2009,9,12,12,0,7.77,9.97,9.97,8.01,8.66,11.5
278,2009,9,12,13,0,8.74,9.67,9.67,8.84,9.2,11.17
279,2009,9,12,14,0,9.77,9.42,9.42,9.07,10.03,10.87
280,2009,9,12,15,0,8.73,9.19,9.19,9.36,10.22,10.61
281,2009,9,12,16,0,8.48,9,9,10.6,9.93,10.38
282,2009,9,12,17,0,6.49,8.83,8.83,10.2,9.02,10.18
283,2009,9,12,18,0,5.35,8.67,8.67,9.68,7.74,10.01
284,2009,9,12,19,0,5.19,8.53,8.53,8.95,6.91,9.85
285,2009,9,12,20,0,5.89,8.39,8.39,7.66,6.82,9.7
286,2009,9,12,21,0,8.64,8.27,8.27,7.03,7.98,9.57
287,2009,9,12,22,0,6.8,8.15,8.15,7.03,8.46,9.44
288,2009,9,12,23,0,5.45,8.04,8.04,8.59,7.65,9.32
289,2009,9,13,0,0,5.02,7.94,7.94,8.93,6.83,9.21
290,2009,9,13,1,0,5.02,7.84,7.84,7.72,6.42,9.11
291,2009,9,13,2,0,5.02,7.74,7.74,6.84,6.27,9
